Author	Type	Font	URL	Language	Related
Warren2060	圆体	CyanoHao/Resource-Han-Rounded 资源圆体	https://github.com/CyanoHao/Resource-Han-Rounded	中日韩文	思源黑体
Warren2060	【手写】	Warren2060/ChillShouZhuo 寒蝉手拙体 / ChillZhuo	https://github.com/Warren2060/ChillShouZhuo	简体中文	
Warren2060	【点阵】	Warren2060/ChillBitmap_7px 寒蝉点阵体 / Chill-Bitmap	https://github.com/Warren2060/ChillBitmap_7px	中日文	
Warren2060	【点阵】	Warren2060/ChillMatrix 寒蝉矩阵体 / Chill-Matrix	https://github.com/Warren2060/ChillMatrix	简体中文	
Warren2060	宋体	Warren2060/ChillJinshuSong 寒蝉锦书宋 / ChillJinshuSong	https://github.com/Warren2060/ChillJinshuSong	中日文	思源宋体
Warren2060	黑体	Warren2060/ChillDuanSans 寒蝉端黑体 / ChillDuanSans	https://github.com/Warren2060/ChillDuanSans	中日韩文	思源黑体
Warren2060	黑体	Warren2060/ChillGSans 寒蝉高黑体 / Chill-G-Sans	https://github.com/Warren2060/ChillGSans	中文	未来荧黑
WFG(fgwang)	宋体	全宋體	https://fgwang.blogspot.com		
一点字坊（I.字坊）	宋体	ichitenfont/I.Ming 一点明体 / I.Ming	https://github.com/ichitenfont/I.Ming	繁體中文	
上地宏一	宋体	Jigmo（字雲）フォント	https://github.com/kamichikoichi/jigmo		
上海图书馆	宋体	上图东观体快看世界体	https://www.library.sh.cn/special/dongguanti/	中文	
中华书局	宋体	中华书局宋体字库	https://www.ancientbooks.cn/helpcore?font	中文	北大方正/中华书局古联公司
乡立方集团	黑体	乡立方黑体（来自微信公众号文章）	https://mp.weixin.qq.com/s/cz6kMxi7eb9jHe0RcvxGmw	中文（4500常用字）	
仓耳字库	【多种】	苍耳字体	https://tsanger.cn/product	中文	
刘鹏（设裂星辰）	【多种】	江城字体系列（圆体、斜黑体、斜宋体、正义体、知音体）	https://www.maoken.com/freefonts/4916.html	中文	
华为	黑体	鸿蒙黑体 / HarmonyOS Sans	https://developer.harmonyos.com/cn/design/resource	中文	汉仪旗黑
句读生态	黑体	JudouEco/JudouSans 句读黑体 / Judou Sans	https://github.com/JudouEco/JudouSans	中日韩文	更纱黑体 & 思源黑体 & FiraGO
国学大师网	宋体	开心宋体	https://www.guoxuedashi.net/zidian/bujian/KaiXinSong.php		
天珩全字库	【多种】	天珩全字库(TH-Tshyn)	http://cheonhyeong.com/Simplified/download.html	中文等多种字型混杂	
字游工房	黑体	冬青黑体 / Hiragino	https://www.screen-hiragino.com/	中日文	
字由	黑体	字由文艺黑、字由芳华体	https://www.hellofont.cn/newsdetail?id=229641		
字神文化	【多种】	汉字之美仿宋 GBK 免费等	http://www.godfont.com/font	中文	
小米	黑体	MiSans	https://hyperos.mi.com/font/download	中文	汉仪旗黑
快看漫画	黑体	快看世界体	https://www.kuaikanmanhua.com/webs/fontPromotion	中文	
抖音体验设计中心	黑体	抖音美好体（来自微信公众号文章）	https://mp.weixin.qq.com/s/_Q_V3vR1nXJfM__GLYY4ZQ	简体中文	
抖音体验设计中心	黑体	抖音美好体（来自微信公众号文章）	https://github.com/bytedance/fonts	简体中文(GB2312)	
摇醒实验室	黑体	摇醒青年黑	http://www.tankmedia.com.cn/wp/portfolio-item/yxqnfontdesign/	中文	
文悦	【多种】	文悦字库	https://wenyue.cn/		
文泉驿信任委员会	黑体	文泉驿正黑体 & 文泉驿微米黑	http://wenq.org/wqy2/index.cgi	中文	
文鼎	【多种】	文鼎雲字庫	https://www.arphic.com.cn	中文	
斗鱼	【斜体】	斗鱼追光体	https://www.douyu.com/topic/douyuZGT	中文	
方正	【多种】	方正字库	https://www.foundertype.com/index.php/FindFont/index	中文	
昭源字體	黑体	chiron-fonts/chiron-hei-hk 昭源黑體 Chiron Hei HK	https://github.com/chiron-fonts/chiron-hei-hk	繁體中文（香港）	
昭源字體	黑体	chiron-fonts/chiron-sung-hk 昭源宋體 Chiron Sung HK	https://github.com/chiron-fonts/chiron-sung-hk	繁體中文（香港）	
智琮科技	仿宋	TrionesType/zhuque 「璇玑造字」朱雀仿宋 / Zhuque Fangsong	https://github.com/TrionesType/zhuque	简体中文	
智琮科技	黑体	welai/glow-sans 「璇玑造字」未来荧黑 / Wêlai Glow Sans	https://github.com/welai/glow-sans	中日文	思源黑体 & Fira Sans & Raleway
未知来信	宋体	快看世界体	https://www.zcool.com.cn/work/ZNjc1OTQ3NjQ=.html	中文	
杨任东	【手写】	竹石体	https://www.maoken.com/freefonts/760.html	中文	
汉仪	【多种】	汉仪字库	https://www.hanyi.com.cn/font-list	中文	
特里王(天王帝廷)	【多种】	匯文系列（来自知乎文章）	https://zhuanlan.zhihu.com/p/12669052378	中文	
特里王(天王帝廷)	宋体	京華老宋体（来自知乎文章）	https://zhuanlan.zhihu.com/p/677725322	中文	
狼人小林	【点阵】	TakWolf/ark-pixel-font 方舟像素字体 / Ark Pixel Font	https://github.com/TakWolf/ark-pixel-font	中日韩文	
狼人小林	【点阵】	TakWolf/fusion-pixel-font 缝合像素字体 / Fusion Pixel Font	https://github.com/TakWolf/fusion-pixel-font	中日韩文	
猫啃网	【美术字】	maoken-fonts/LongZhuTi （标小智）龙珠体	https://github.com/maoken-fonts/LongZhuTi	中文	RocknRoll One
王漢宗	【多种】	王漢宗自由字型	https://code.google.com/archive/p/wangfonts/	繁體中文	
字语字库	宋体	国标宋体（GB_ST_GB18030）	http://www.thinkfont.com/#/product/detail?id=118		中文
翰字鑄造	黑体	台北黑體 / TAIPEI SANS TC	https://sites.google.com/view/jtfoundry/	中文	思源黑体
胡晓波	【多种】	胡晓波字库（男神体等）	http://hxbzt.com	中文	
自由香港字型	楷书	自由香港楷書	https://freehkfonts.opensource.hk/download/		
臺灣“教育部”	【多种】	Jiehong/TW-fonts 教育部標準宋體&楷書&隸書	https://github.com/Jiehong/TW-fonts	繁體中文	
臺灣“教育部”	【多种】	教育部標準宋體&楷書&隸書	https://language.moe.gov.tw/result.aspx?classify_sn=23	繁體中文	
臺灣“數位發展部”	【多种】	CNS11643全字庫（正宋體&正楷體）	https://data.gov.tw/dataset/5961	繁體中文（台湾字型）	
荣耀	黑体	荣耀字体 / HONOR Sans	https://developer.honor.com/cn/doc/guides/100681	中文	方正字体
落霞孤鹜	【手写】	lxgw/kose-font 小赖字体 / Xiaolai Font	https://github.com/lxgw/kose-font	简体中文	濑户字体
落霞孤鹜	【手写】	lxgw/yozai-font 悠哉字体 / Yozai Font	https://github.com/lxgw/yozai-font	中文	Y.OzFont
落霞孤鹜	宋体	lxgw/LxgwNeoZhiSong 霞鹜新致宋 / LXGW Neo ZhiSong	https://github.com/lxgw/LxgwNeoZhiSong	中文	IPAmj明朝フォント
落霞孤鹜	宋体	lxgw/LxgwZhiSong 霞鹜致宋 / LXGW ZhiSong	https://github.com/lxgw/LxgwZhiSong	中文	IPAmj明朝フォント
落霞孤鹜	楷体	lxgw/FusionKai 缝合楷 / Fusion Kai	https://github.com/lxgw/FusionKai	中日文	Klee One
落霞孤鹜	楷体	lxgw/LxgwWenKai 霞鹜文楷 / LxgwWenKai	https://github.com/lxgw/LxgwWenKai	中文	Klee One
落霞孤鹜	楷体	lxgw/LxgwWenkaiGB 霞鹜文楷 GB / LXGW WenKai GB	https://github.com/lxgw/LxgwWenkaiGB	简体中文	Klee One
落霞孤鹜	楷体	lxgw/LxgwWenkaiTC 霞鶩文楷 TC / LXGW WenKai TC	https://github.com/lxgw/LxgwWenkaiTC	繁體中文	Klee One
落霞孤鹜	楷体	lxgw/LxgwZhenKai 霞鹜臻楷 / LXGW ZhenKai	https://github.com/lxgw/LxgwZhenKai	简体中文	霞鹜文楷
落霞孤鹜	黑体	lxgw/LxgwMarkerGothic 霞鹜漫黑 / LXGW Marker Gothic	https://github.com/lxgw/LxgwMarkerGothic	中文	たぬゴ（Tanugo）
落霞孤鹜	黑体	lxgw/LxgwNeoXiHei 霞鹜新晰黑 / LXGW Neo XiHei	https://github.com/lxgw/LxgwNeoXiHei	中文	IPAexゴシック
落霞孤鹜	黑体	lxgw/LxgwXiHei 霞鹜晰黑 / LXGW XiHei	https://github.com/lxgw/LxgwXiHei	中文	IPAexゴシック
造字工房	【多种】	造字工房字体产品	https://www.makefont.com/fonts.html	中文	
金山云	黑体	金山云技术体	https://design.ksyun.com/font	中文	
锚坞	黑体	atelier-anchor/smiley-sans 得意黑 / Smiley Sans	https://github.com/atelier-anchor/smiley-sans	简体中文	
问藏书房	圆体	问藏书房字体	https://www.wencang.com/font.jsp	中文（仅7千汉字）	
阿里巴巴	【多种】	阿里妈妈字体	https://www.alibabafonts.com/#/more	中文	
阿里巴巴	【斜体】	钉钉进步体	https://page.dingtalk.com/wow/dingtalk/default/dingtalk/y-W5aF3_ZJwzulU0nceIl	中文	
阿里巴巴	黑体	阿里巴巴普惠体	https://www.alibabafonts.com/	中文	
魏安(Andrew Christopher West)	宋体	BabelStone Fonts	https://www.babelstone.co.uk/Fonts/Han.html		
黄令東	宋体	LingDong-/qiji-font 齊伋體 qiji-font	https://github.com/LingDong-/qiji-font	中文	
龚帆	【多种】	龚帆字库	https://www.gongfanzk.cn	中文	
takushun-wu	宋体	文津宋体	https://github.com/takushun-wu/WenJinMincho		
takushun-wu	宋体	SuperHan	https://github.com/takushun-wu/SuperHan		
Fitzgerald Yu	黑体	遍体黑	https://github.com/Fitzgerald-Porthmouth-Koenigsegg/Plangothic_Project		
MY1L	黑体	典迹汉字（Monu Han 系列）	https://github.com/MY1L/Unicode/tree/main/Hani		
8 Steps	宋体	8 Steps Unihan 宋体	https://www.8suh.com/common-chinese-font-download/		
白雲深處人家	宋体	Windows 系统宋体升级包	http://www.homeinmists.com/Unicode15Song.zip		
天码输入法	宋体	超集宋体（天码输入法）	http://soongsky.com/sky/download.php		
孙海峰等	宋体	UniFonts（海峰超大字符集）/Sun-ExtA 和 Sun-ExtB	http://okuc.net/SoftWare/UniFonts6.0.exe		
sanwsw	宋体	simsunb 修补版	http://bbs.pinyin.thunisoft.com/forum.php?mod=viewthread&tid=63234&page=1#pid155846		
碧海潮声	黑体	修正版雅黑	https://bbs.pcbeta.com/viewthread-1960120-1-1.html	中文	微软雅黑等
Pal3love	【多种】	思源 TrueType	https://github.com/Pal3love/Source-Han-TrueType
Keynote研究所（原稿：纪国才）	楷体	演示佛系体	https://mp.weixin.qq.com/s/iWn8SWH5ymBKmsGiHe8Yfw
Keynote研究所（原稿：孟祥媛）	楷体	演示悠然小楷	https://mp.weixin.qq.com/s/Q1lAIre4yJ-Zlf2CD82EPA
Keynote研究所（原稿：徐占海）	楷体	演示春风楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag
Keynote研究所（原稿：刘锡栋）	楷体	演示夏行楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag
Keynote研究所（原稿：叶运鹏）	楷体	演示秋鸿楷	https://mp.weixin.qq.com/s/CRnRsYu8ymlG9_oK6wmBag
Keynote研究所（人生哥）	黑体	演示斜黑体	https://mp.weixin.qq.com/s/OaEtrG8C0sp-oPyyM-_Wfg		思源黑体
Max Yao	宋体	獅尾四季春	https://github.com/max32002/swei-spring	繁体中文	思源宋体
Max Yao	圆体	獅尾圓體	https://github.com/max32002/swei-gothic	繁体中文	思源黑体
黄煜臣	楷体	江西拙楷	https://www.zcool.com.cn/work/ZNDE4MzY4Mjg=.html
朝鲜媒体集团 (韩国)	黑体	朝鲜100年字体	https://event.chosun.com/100/100font.html
